項次,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,211111百貨beacon伊萊克斯,,210714_1200,,,,關鍵字｜五折,【圖文選單點擊】24年5月精選推薦,台塑生醫,見習網美小吳,,,領取2024高雄櫻花祭_扭蛋抽獎DAY1_輕水瓶,,,,領取_2024年中慶抽獎_電子體驗券1張,接棒未來_2023_公誠國小,,ncp_m10_花式咖啡,,,,,190101至220945約翰森林,,,,,,
,211111百貨beacon雙11,,210715_2000,,,,關鍵字｜保暖,【圖文選單點擊】24年6月精選推薦,台灣巧護士,購物車再行銷,,,領取2024高雄櫻花祭_扭蛋抽獎DAY1遊戲券,,,,領取_2024新好友見面禮,接棒未來_2023_古亭國小,,ncp_m10_開啟體驗,,,,,190101至220946約翰森林,,,,,,
,211112推播honeywell,,210716_1200,,,,關鍵字｜倒數,【圖文選單點擊】24年7月精選推薦,台灣茶人,購物車再行銷-優惠券,,,領取2024高雄櫻花祭_扭蛋抽獎DAY2_120週年托特袋,,,,領取_2024鐵粉挑戰_百枚代幣,接棒未來_2023_台灣大學,,ncp_m10_風味飲品,,,,,190101至220947約翰森林,,,,,,
,211112百貨beacon電競周邊,,210717_2000,,,,關鍵字｜免綁帶,【圖文選單點擊】分支_撥打lalaport電話,台酒,購物車再行銷-購物車,,,領取2024高雄櫻花祭_扭蛋抽獎DAY2_LINE 20點,,,,領取_2024鐵粉挑戰_電子體驗券1張,接棒未來_2023_國語實小,,ncp_m1_使用教學,,,,,190101至220948約翰森林,,,,,,
,211112選單加碼5趴回饋,,210718_2000,,,,關鍵字｜免運,【圖文選單點擊】分支_撥打中山店電話,台鹽,購物金通知,,,領取2024高雄櫻花祭_扭蛋抽獎DAY2_LINE 50點,,,,領取_增粉邀請_2024M1增粉,接棒未來_2023_士林國小,,ncp_m1_常見問答,,,,,190101至220949約翰森林,,,,,,
,211113推播jabra耳機,,210721_1200,,,,關鍵字｜內增高,【圖文選單點擊】分支_撥打台中中港店電話,台鹽生技,贈品活動,,,領取2024高雄櫻花祭_扭蛋抽獎DAY2_會員點數100點,,,,領取_增粉邀請_2024M1會員日,接棒未來_2023_大直國小,,ncp_m1_意見回饋,,,,,190101至220950約翰森林,,,,,,
,211113百貨beacon華歌爾,,210722_2000,,,,關鍵字｜出遊,【圖文選單點擊】分支_撥打安和店電話,名品匯,轉盤遊戲優惠券,,,領取2024高雄櫻花祭_扭蛋抽獎DAY2_杯瓶提袋,,,,領取_新好友見面禮,接棒未來_2023_新興國小,,ncp_m1_機器01,,,,,190101至220951約翰森林,,,,,,
,211114推播blueair,,210723_1200,,,,關鍵字｜功能,【圖文選單點擊】分支_撥打敦南店電話,名模天后,轉盤遊戲得到優惠券,,,領取2024高雄櫻花祭_扭蛋抽獎DAY2_輕水瓶,,,,領取_生日禮,接棒未來_2023_清江國小,,ncp_m1_機器02,,,,,190101至220952約翰森林,,,,,,
,211114百貨beacon社團開箱,,210723_1600,,,,關鍵字｜厚底,【圖文選單點擊】分支_撥打文心秀泰電話,君御堂,轉盤遊戲領取成功,,,領取2024高雄櫻花祭_扭蛋抽獎DAY2遊戲券,,,,領取_遊戲資格_2024M8大魯閣鐵粉挑戰,接棒未來_2023_西園國小,,ncp_m1_機器03,,,,,190101至220953約翰森林,,,,,,
,211114百貨beacon週末特殺,,210724_1200,,,,關鍵字｜厚底鞋,【圖文選單點擊】分支_點擊lalaport LINE@,吸塵器,追蹤連結｜門市點擊-全台門市,,,領取2024高雄櫻花祭_扭蛋抽獎DAY3_120週年托特袋,,,,飛鏢,接棒未來_2023_鎮西國小,,ncp_m1_機器04,,,,,190101至220954約翰森林,,,,,,
,211114百貨beacon雙11,,210724_2000,,,,關鍵字｜可後踩,【圖文選單點擊】分支_點擊中山店LINE@,吸塵塵,追蹤連結｜門市點擊-台中門市清單,,,領取2024高雄櫻花祭_扭蛋抽獎DAY3_LINE 20點,,,,點擊_2023M10生日禮,接棒未來_2024,,ncp_m1_機器05,,,,,190101至220955約翰森林,,,,,,
,211115推播曼黛瑪璉,,210725_2000,,,,關鍵字｜可愛,【圖文選單點擊】分支_點擊中港店LINE@,吸濕排汗,追蹤連結｜門市點擊-台北門市清單,,,領取2024高雄櫻花祭_扭蛋抽獎DAY3_LINE 50點,,,,點擊_2023M11火球祭,接棒未來_36-45歲,,ncp_m1_機器06,,,,,190101至220956約翰森林,,,,,,
,211116動態n3c加碼,,210728_1200,,,,關鍵字｜均一價,【圖文選單點擊】分支_點擊安和店LINE@,吹風,追蹤連結｜門市點擊-台南門市清單,,,領取2024高雄櫻花祭_扭蛋抽獎DAY3_會員點數100點,,,,點擊_2023M11生日禮,接棒未來_46-55歲,,ncp_m1_立即申請,,,,,190101至220957約翰森林,,,,,,
,211116百貨beacon全站加碼,,210729_2000,,,,關鍵字｜夜貓,【圖文選單點擊】分支_點擊敦南店LINE@,吹風機,追蹤連結｜門市點擊-新北門市清單,,,領取2024高雄櫻花祭_扭蛋抽獎DAY3_杯瓶提袋,,,,點擊_2023M11_週年慶互動,接棒未來_56歲以上,,ncp_m1_立即集點,,,,,190101至220958約翰森林,,,,,,
,211117百貨beacon美妝食品,,210730_1600,,,,關鍵字｜好走,【圖文選單點擊】分支_點擊文心秀泰店LINE@,周大福,追蹤連結｜門市點擊-新竹門市清單,,,領取2024高雄櫻花祭_扭蛋抽獎DAY3_輕水瓶,,,,點擊_2023M11_週年慶登錄,接棒未來_8-12歲,,ncp_m1_開始美好,,,,,190101至220959約翰森林,,,,,,
,211118百貨beacon通訊數位,,210731_1200,,,,關鍵字｜宅配免運,【圖文選單點擊】分支_點擊文新秀泰店LINE@,味丹,追蹤連結｜門市點擊-桃園門市清單,,,領取2024高雄櫻花祭_扭蛋抽獎DAY3遊戲券,,,,點擊_2023M12大夜暢打,接棒未來_元宵燈會,,ncp_m1_除鈣01,,,,,190101至220960約翰森林,,,,,,
,211119推播apple,,210731_2000,,,,關鍵字｜寬楦,【圖文選單點擊】十月精選標籤,味王,追蹤連結｜門市點擊-高雄門市清單,,,領取2024高雄櫻花祭_扭蛋抽獎_LINE20點,,,,點擊_2023M12生日禮,接棒未來_台灣科技大學,,ncp_m1_除鈣02,,,,,190101至220961約翰森林,,,,,,
,211120推播週末特殺小編報,,210801_1000,,,,關鍵字｜小資族,【圖文選單點擊】門市,呷七碗,通知型訊息綁定,,,領取2024高雄櫻花祭_扭蛋抽獎_冰沁杯,,,,點擊_2023M9_亞運短促,接棒未來問卷回饋,,ncp_m1_除鈣03,,,,,190101至220962約翰森林,,,,,,
,211122推播亞培abbott,,210801_2000,,,,關鍵字｜小香風,地區：中部,咖啡,週年,,,領取2024高雄櫻花祭_扭蛋抽獎_會員點數100點,,,,點擊_2024EDM新訂閱禮,接棒未來_天母球場,,ncp_m1_除鈣04,,,,,190101至220963約翰森林,,,,,,
,211124fb抽獎貼圖票選,,210803_1200,,,,關鍵字｜尖頭,地區：北部,咖啡壺,週年慶互動,,,領取2024高雄櫻花祭_扭蛋抽獎_杯瓶提袋,,,,點擊_2024M1增粉活動,接棒未來_學生,,ncp_m1_除鈣05,,,,,190101至220964約翰森林,,,,,,
,211124推播24力,,210804_1200,,,,關鍵字｜心理測驗,地區：南部,咖啡機,遊戲互動,,,領取2024高雄櫻花祭_扭蛋抽獎_輕水瓶,,,,點擊_2024M1_學生暢打,接棒未來_悍將迷,,ncp_m1_除鈣06,,,,,190101至220965約翰森林,,,,,,
,211127推播小編週末報,,210805_2000,,,,關鍵字｜扁平足,地區：東部,品木宣言,遊戲分享,,,領取2024高雄櫻花祭_拍貼兌換券Day1,,,,點擊_2024M1生日禮,接棒未來_桃猿迷,,ncp_m1_集點01,,,,,190101至220966約翰森林,,,,,,
,211127推播週末+小編報,,210806_1200,,,,關鍵字｜扁跟,填問券領折扣碼,品諾,遊戲分享進入的新好友,,,領取2024高雄櫻花祭_拍貼兌換券Day2,,,,點擊_2024M2新春增粉活動,接棒未來_獅迷,,ncp_m1_集點02,,,,,190101至220967約翰森林,,,,,,
,211130推播brita,,210807_1200,,,,關鍵字｜按摩底,填問卷領折扣碼,哈根達斯,遊戲說明,,,領取2024高雄櫻花祭_拍貼兌換券Day3,,,,點擊_2024M2新春簽到活動,接棒未來_社區棒球,,ncp_m1_集點03,,,,,190101至220968約翰森林,,,,,,
,2111雙11購物直播,,210808_2000,,,,關鍵字｜排行榜,夏日衣物護理,唇彩口紅,遊戲輪播分享,,,領取230509推播_小七品牌券,,,,點擊_2024M2新春簽到活動_完成禮,接棒未來_社福團體,,ncp_m1_集點換咖啡,,,,,190101至220969約翰森林,,,,,,
,211201推播apple,,210811_1200,,,,關鍵字｜推薦,夏日衣物護理圖文選單,唇膏,過年,,,領取240408推播_＼神秘禮物／54折優惠券,,,,點擊_2024M2新春簽到活動_未綁標,接棒未來_親子,,ncp_m2-1_百貨門市,,,,,190101至220970約翰森林,,,,,,
,211204推播週末報+小編報,,210812_1900,,,,關鍵字｜換季,夜貓折扣碼,唇膏口紅,金鍊,,,領取【BergHOFF實演活動】LINE 20點,,,,點擊_2024M2新春簽到活動_第一天紅包,接棒未來_象迷,,ncp_m2-2_百貨門市,,,,,190101至220971約翰森林,,,,,,
,211206不打烊占卜屋,,210812_2000,,,,關鍵字｜新品,女王獻禮 38 購物節｜隱藏折扣碼,善存,鐵鏽率,,,領取【BergHOFF快閃店】LINE 20點 deleted_at 2024-07-24 09:34:19,,,,點擊_2024M2新春簽到活動_第三天紅包,接棒未來_雄鷹迷,,ncp_m2_中部,,,,,190101至220972約翰森林,,,,,,
,211207推播曼寧花草茶,,210813_1200,,,,關鍵字｜旅行,女王獻禮精選推薦,喇叭,鐵鏽綠,,,領取【FJK新品體驗活動】LINE 20點,,,,點擊_2024M2新春簽到活動_第二天紅包,接棒未來_龍迷,,ncp_m2_北部,,,,,190101至220973約翰森林,,,,,,
,211208推播app遇8就發,,210815_2000,,,,關鍵字｜早鳥,女王獻禮隱藏優惠,喜馬拉雅,長夾,,,領取【LINE限定】全新品牌BergHOFF現折$100折扣碼,,,,點擊_2024M2新春簽到活動_領取Day1紅包,攜伴/同事商業夥伴,,ncp_m2_南部,,,,,190101至220974約翰森林,,,,,,
,211209推播dyson,,210816_1830,,,,關鍵字｜時事,女王獻禮隱藏優惠2,喝茶閒閒,門市,,,領取【Outlet 新註冊會員】LINE 10點,,,,點擊_2024M2新春簽到活動_領取Day2紅包,攜伴/夫妻情侶,,ncp_m2_如何保固,,,,,190101至220975約翰森林,,,,,,
,211210推播小米,,210818_1200,,,,關鍵字｜機能,女王獻禮隱藏優惠_抽,嘟嘟太郎,門市訊息｜台中,,,領取【印花樂】杯瓶提袋DIY抽獎券,,,,點擊_2024M2新春簽到活動_領取Day3紅包 deleted_at 2024-07-29 05:53:46,攜伴/朋友同學,,ncp_m2_登入保固,,,,,190101至220976約翰森林,,,,,,
,211210直播雙12購物王,,210819_2000,,,,關鍵字｜涼感,女王節獻禮來晚了,囤貨必備,門市訊息｜台北,,,領取【印花樂】杯瓶提袋DIY體驗券,,,,點擊_2024M2生日禮,攜伴/獨自觀賽,,ncp_m3_中烘焙,,,,,190101至220977約翰森林,,,,,,
,211211推播週末特殺+小編報,,210822_2000,,,,關鍵字｜減壓,【好友來源】2024女王節(0301午-0312午)有消費過至少一次會員,國內旅遊,門市訊息｜台南,,,領取【印花樂課程問卷】扭蛋抽獎券,,,,點擊_2024M2郭泓志課程折扣,攜伴/親子,,ncp_m3_其他,,,,,190101至220978約翰森林,,,,,,
,211212推播timberland,,210823_1200,,,,關鍵字｜渡假風,【好友來源】230104 - 年菜 edm,國外旅遊,門市訊息｜文心秀泰門市,,,領取【台中冷萃咖啡機活動問卷】LINE 20點,,,,點擊_2024M2郭泓志課程折扣_圖文選單,攜伴/長輩平輩,,ncp_m3_冰咖啡,,,,,190101至220979約翰森林,,,,,,
,211213線上月老廟,,210825_1200,,,,關鍵字｜滿額禮,【好友來源】231213 - KOC,國際牌,門市訊息｜新北,,,領取【台中新光】BergHOFF快閃店現折$100元,,,,點擊_2024M3增粉活動,新客問卷_FB訂閱,,ncp_m3_冰美式,,,,,190101至220980約翰森林,,,,,,
,211218推播週末特殺+小編報,,210826_2000,,,,關鍵字｜熱銷,【好友來源】240102 - 【煥新生活】商品頁導 line,圓山大飯店,門市訊息｜新竹,,,領取【台北冷萃咖啡機活動問卷】LINE 20點,,,,點擊_2024M3增粉活動_0406提醒訊息,新客問卷_IG訂閱,,ncp_m3_冰飲品,,,,,190101至220981約翰森林,,,,,,
,211220推播聖誕杯瓶,,210827_1200,,,,關鍵字｜特賣會,【好友來源】240109 匯 - 23'12月起註冊未消費,地墊,門市訊息｜桃園,,,領取【啤酒節註冊抽獎】LINE 20點,,,,點擊_2024M3增粉活動_0416提醒訊息,新客問卷_購票,,ncp_m3_咖啡味多,,,,,190101至220982約翰森林,,,,,,
,211221推播皮爾卡登,,210829_2000,,,,關鍵字｜現折,【好友來源】240229 - 商品頁導 line_三月,坐墊,門市訊息｜高雄,,,領取【啤酒節註冊抽獎】檸檬大叔海鹽檸檬膠囊乙盒,,,,點擊_2024M3增粉活動_0420提醒訊息,新客問卷_龍TV訂閱,,ncp_m3_奶味多,,,,,190101至220983約翰森林,,,,,,
,211222推播brita,,210901_1200,,,,關鍵字｜現貨,【好友來源】240307 - ( 3/8限搶 ) 於 FB 宣傳,培恩,限定禮盒,,,領取【啤酒節註冊抽獎】膳魔師冰沁杯,,,,點擊_2024M3會員日_線上導購,新會員彈窗,,ncp_m3_深烘焙,,,,,190101至220984約翰森林,,,,,,
,211224推播24力,,210902_2000,,,,關鍵字｜登山,【好友來源】240331 - 商品頁導 line_四月,堅果,限定色,,,領取【啤酒節註冊抽獎】膳魔師冰沁杯280ml,,,,點擊_2024M3會員日_驚喜優惠,曾偉倫,,ncp_m3_清爽冰美式,,,,,190101至220985約翰森林,,,,,,
,211225推播週末特殺+小編報,,210903_1130,,,,關鍵字｜知識文｜腳痛,【好友來源】240412 - act_24mem_newfriends @FB廣告,塑塑,零錢,,,領取【啤酒節註冊抽獎】遊戲抽獎券乙張,,,,點擊_2024M3生日禮,曾韋霖,,ncp_m3_清爽熱美式,,,,,190101至220986約翰森林,,,,,,
,211227推播realme,,210903_1200,,,,關鍵字｜磨腳,【好友來源】240416 - ( 母親節早鳥場 ) 於 FB 宣傳,塑身衣褲,頁下包,,,領取【嘖嘖新好友獨享】官網現折50元,,,,點擊_2024M4仁德大夜暢打,會員沒有uid,,ncp_m3_濃郁冰美式,,,,,190101至220987約翰森林,,,,,,
,211228推播garmin,,210905_2000,,,,關鍵字｜禦寒,【好友來源】240510 -  FB 廣告(618單品貼文下方資訊),墨鏡,風格｜可愛,,,領取【嘖嘖獨享】官網現折50元,,,,點擊_2024M4會員日_線上導購,會購買_冷藏咖啡,,ncp_m3_焦糖香氣,,,,,190101至220988約翰森林,,,,,,
,21k馬拉松,,210906_1200,,,,關鍵字｜私心推薦,【好友來源】2405 門市門市導客活動_ FB ( Hotel Dawson ),壓縮袋,風格｜多巴胺,,,領取圖文選單官網99購物節折扣碼,,,,點擊_2024M4熊貓廣告合作,會購買_冷藏品_網路購買,,ncp_m3_熱咖啡,,,,,190101至220989約翰森林,,,,,,
,21週年生日不過疫情快過,,210906_1600,,,,關鍵字｜穿搭,【好友來源】2405 門市門市導客活動_ FB ( LIND DNA ),外套,風格｜嬉皮穿搭,,,領取【官網618限定】LINE 10點,,,,點擊_2024M4生日禮,會購買_冷藏果汁,,ncp_m3_熱美式,,,,,190101至220990約翰森林,,,,,,
,220101推播apple,,210908_1200,,,,關鍵字｜粗跟,【好友來源】240614 - 24年下單會員(台北台中門市活動用),多WAY包,風格｜牛仔,,,領取【官網618限定】LINE 20點,,,,點擊_2024M5學生暢打 deleted_at 2024-06-19 01:11:09,會購買_常溫咖啡,,ncp_m3_熱飲品,,,,,190101至220991約翰森林,,,,,,
,220105推播無印良品+line加碼,,210909_2000,,,,關鍵字｜細跟,【好友來源】240620_門店增客專案_qrcode,多瓦娜,風格｜簡約白襯衫,,,領取【官網618限定】現折68元折扣碼,,,,點擊_2024M5會員日_線上導購,會購買_鮮乳,,ncp_m3_立即尋找,,,,,190101至220992約翰森林,,,,,,
,220106推播象印幫寶適,,210910_1200,,,,關鍵字｜絕版,【好友來源】240723-官網跑馬燈增友（3000-100）,夢素肌,風格｜美拉德風格,,,領取【官網LINE好友】新春現折88元,,,,點擊_2024M5生日禮,李永彬,,ncp_m3_綿密奶泡,,,,,190101至220993約翰森林,,,,,,
,220107品牌組鎮金店,,210910_1600,,,,關鍵字｜耐磨,【好友來源】24'2月 抽籤遊戲 FB 宣傳,夢素肌EX,風格｜華麗,,,領取【官網LINE好友】新春現折88元優惠券,,,,點擊_2024M6學生暢打,林亭志,,ncp_m3_美式咖啡,,,,,190101至220994約翰森林,,,,,,
,220107推播週末特殺+小編報,,210910_2000,,,,關鍵字｜職場,【好友來源】24'4月一般保持會員,大同,風格｜藝術家,,,領取【官網會員限定】BergHOFF新品牌現折100元,,,,點擊_2024M6會員日_線上導購,林哲緯,,ncp_m3_義式濃縮,,,,,190101至220995約翰森林,,,,,,
,220108推播app遇8就發,,210912_2000,,,,關鍵字｜訂製款,【好友來源】24'4月首頁導LINE_BN,大同,風格｜街頭穿搭,,,領取【官網母親節】LINE 10點,,,,點擊_2024M6生日禮,林尹勛,,ncp_m3_花式咖啡,,,,,190101至220996約翰森林,,,,,,
,220111推播保健食品,,210915_1200,,,,關鍵字｜買一送一,【好友來源】24MAY 官網右下開啟客服對話,大型家電,風格｜運動休閒風,,,領取【官網生日慶】現折77元折扣碼,,,,點擊_2024M7生日禮,林芷瑜,,ncp_m3_適中冰美式,,,,,190101至220997約翰森林,,,,,,
,220113推播淨水,,210916_2000,,,,關鍵字｜購物金,【好友來源】24三月敦南客戶,大家,風格｜酷甜,,,領取【官網週年慶】現折150元,,,,點擊_2024M8U18優惠,林襄粉,,ncp_m3_適中熱美式,,,,,190101至220998約翰森林,,,,,,
,220114推播舒潔,,210918_1200,,,,關鍵字｜贈品,【好友來源】24 二月．一般帳號註冊完成導 LINE,大家源,風格｜韓系,,,領取【官網週年慶】現折300元,,,,點擊_2024M8卡丁車學生短促優惠,林霄,,ncp_m3_鮮奶調和,,,,,190101至220999約翰森林,,,,,,
,220115推播週末特殺+小編報,,210921_2000,,,,關鍵字｜超下殺,【好友來源】24二月官網 popup 抽籤,大家電,鵝黃,,,領取【官網開工紅包】現折50元,,,,點擊_2024M8大魯閣鐵粉挑戰,楊世宇,,ncp_m4_分享圖點擊,,,,,190101至221000約翰森林,,,,,,
,220116推播garmin,,210922_1200,,,,關鍵字｜足弓墊,【好友來源】24 二月．第三方註冊完成導 LINE,大寶鍋,點擊｜$1000以上,,,領取【官網限定】不沾鍋回購現折150元,,,,點擊_2024M8生日禮,樂天桃猿球迷,,ncp_m4_我要參觀,,,,,190101至221001約翰森林,,,,,,
,220117直播季芹一日選物店,,210923_2000,,,,關鍵字｜跟風,【好友來源】24 二月．訂單完成頁導 LINE,大河,點擊｜$1000以下,,,領取【官網限定】新春現折88元優惠券,,,,點擊_2024M8發票登錄_倒數7天,江沛霖,,ncp_m5_參觀展覽,,,,,190101至221002約翰森林,,,,,,
,220118推播小米,,210926_2000,,,,關鍵字｜軟Q,【好友來源】24五月FB轉盤,大研生醫,點擊｜11.11,,,領取【官網限時紅包】現折188元,,,,點擊_2024M9生日禮,泡泡冰,,ncp_m5_被分享者,,,,,190101至221003約翰森林,,,,,,
,220119推播apple春節3c百貨,,210927_1200,,,,關鍵字｜軟文｜獨家,【好友來源】24五月官網 popup 轉盤,大金,點擊｜12.10-翻玩派對,,,領取【官網雙12】現折100元,,,,點擊_2024年中慶發票登錄,泡泡冰5,,ncp_m6_分享圖點擊,,,,,190101至221004約翰森林,,,,,,
,220119推播華歌爾,,210927_1600,,,,關鍵字｜軟文｜穿搭技巧 deleted_at 2024-07-05 10:36:20,【好友來源】24專案_色彩測驗_網站,天使娜拉,點擊｜12.11-赫本軌跡,,,領取【專櫃問卷】抽獎券,,,,點擊_EDM活動_抽ASICS禮券,活動_點擊_元宵公益拍賣,,ncp_m7_入手除鈣劑,,,,,190101至221005約翰森林,,,,,,
,220120推播品牌p幣+line購物,,210929_2000,,,,關鍵字｜輕巧,【好友來源】24專案_色彩測驗_門市,天天打卡,點擊｜12.12-月桂女神,,,領取專櫃限定【會員DM問卷抽獎】遊戲券,,,,點擊_kkday保齡球,活動_點擊_接棒勸募,,ncp_m7_除鈣教學,,,,,190101至221006約翰森林,,,,,,
,220121推播timberland,,210930_2000,,,,關鍵字｜鋸齒,【好友來源】24專案_色彩測驗_餐廳,天天最激殺,點擊｜A+B-熱銷推薦,,,領取【我的春日幸運色】德國Donkey招財貓,,,,點擊_kkday卡丁車,渡邊芳章,,ncp_m8_品味金卡,,,,,190101至221007約翰森林,,,,,,
,220122推播週末特殺+小編報,,211001_1200,,,,關鍵字｜防水,【好友來源】抽籤遊戲 FB 宣傳,天賜良緣大飯店,點擊｜A+B-百搭推薦,,,領取【我的春日開運色】德國招財貓抽獎券,,,,點擊_kkday大夜暢打,温仁厚,,ncp_m8_多趣卡,,,,,190101至221008約翰森林,,,,,,
,220124推播24力,,211003_2000,,,,關鍵字｜防水台,【好友名單】240614 - 購物金>1000且去年至今有登入之會員,天香樓,點擊｜A+B-精打細算,,,領取抽獎券【專櫃問卷抽獎】LINE POINT 50點,,,,點擊_kkday棒壘球,測試會員,,ncp_m8_繽紛銀卡,,,,,190101至221009約翰森林,,,,,,
,220125動態貼圖fb抽獎,,211004_2000,,,,關鍵字｜防潑水,安和門市,太陽眼鏡,點擊｜OZONE活動表單,,,領取【新客限定】現折50元,,,,點擊_分享卡丁車學生短促,游澤民,,ncp_ri_咖啡機保固,,,,,190101至221010約翰森林,,,,,,
,220125推播曼黛瑪璉,,211006_1200,,,,關鍵字｜限定,官網pop up,奇美,點擊｜中性禮物,,,領取【暖身慶】官網限時折100,,,,點擊_分享學生暢打按鈕,王道抽獎活動,,ncp_ri_會員卡,,,,,190101至221011約翰森林,,,,,,
,220125揪伴活動,,211007_2000,,,,關鍵字｜雙 11 加碼,官網 POP UP 新客 _ 100券,契爾氏,點擊｜免運券歸戶,,,領取【暖身慶】官網限時折200,,,,點擊_圖文選單_ooopen互動遊戲_卡丁,生日,,ncp_ri_會員綁定,,,,,190101至221012約翰森林,,,,,,
,220125新年抽P幣紅包,,211008_1200,,,,關鍵字｜雙11延長,官網 POP UP 舊客 _ 100券,奧利塔,點擊｜免運券領取,,,領取【暖身慶】官網限時折30,,,,點擊_圖文選單_ooopen互動遊戲_棒壘,男性,,ncp_ri_關於咖啡機,,,,,190101至221013約翰森林,,,,,,
,220126推播3c百貨開學開工,,211008_2000,,,,關鍵字｜雨天,官網折扣碼,女下身,點擊｜兒童禮物,,,領取【會員DM問卷抽獎】LINE 10點,,,,點擊_圖文選單_主題日,程勇順,,ncp_店點查詢_已綁定,,,,,190101至221014約翰森林,,,,,,
,220127推播apple+春節不打烊,,211009_1300,,,,關鍵字｜零碼,家具愛好,女內衣,點擊｜前往FB參加,,,領取【會員DM問卷抽獎】LINE 20點,,,,點擊_圖文選單_售票_保齡,章凱甄,,ncp_店點查詢_未綁定,,,,,190101至221015約翰森林,,,,,,
,220129選單禦寒專區,,211009_2000,,,,關鍵字｜韓版 deleted_at 2024-07-10 02:40:37,實體門市與餐廳,女內衣,點擊｜前往IG參加,,,領取【會員DM問卷抽獎】LINE 50點,,,,點擊_圖文選單_售票_卡丁車,統一獅球迷,,ncp_綁定會員1_pic,,,,,190101至221016約翰森林,,,,,,
,220130推播開學開工3c百貨2,,211010_2000,,,,關鍵字｜領券,【導流】2305 - 母親節抽抽樂,女內衣褲,點擊｜女生禮物,,,領取【會員限定抽獎】官網購買電熱水壺抽不沾鍋,,,,點擊_圖文選單_售票_大夜暢打,線上商城_新會員彈窗,,ncp_綁定會員2_pic,,,,,190101至221017約翰森林,,,,,,
,220201230108一級互動粉,,211011_2000,,,,關鍵字｜顯瘦,帶我去新春專區,女內褲,點擊｜山系男女-女,,,領取【會員限定抽獎】百貨購買電熱水壺抽不沾鍋,,,,點擊_圖文選單_售票_棒壘,練習生初登板推播購票,,ndg,,,,,190101至221018約翰森林,,,,,,
,220201230108一級互動粉(女),,211013_1200,,,,關鍵字｜馬甲,年中慶正式場抽獎,女包,點擊｜山系男女-女-大容量包,,,領取【會員限定抽獎】百貨－購買電熱水壺抽不沾鍋,,,,點擊_圖文選單_售票_限定優惠,老龍迷,,NDG FB,,,,,190101至221019約翰森林,,,,,,
,220201230108一級互動粉(男),,211014_2000,,,,關鍵字｜高筒,年齡：25以下,女性保健,點擊｜山系男女-女-輕便小包,,,領取【會員限定抽獎】膳魔師KFG羽量輕手不沾鍋20公分乙個,,,,點擊_圖文選單_檔期_棒球手套,聯名卡推播,,NDG官網通路,,,,,190101至221020約翰森林,,,,,,
,220201推播apple,,211015_1200,,,,防撥水,年齡：26-34,女性保養,點擊｜山系男女-男,,,領取【會員限定抽獎】購買電熱水壺抽不沾鍋,,,,點擊_圖文選單登錄發票,范睿秦,,NDG_直營通路_Brand New新客_二次回購,,,,,190101至221021約翰森林,,,,,,
,220201選單line紅包加碼,,211017_2000,,,,防潑水,年齡：34-44,女美容家電,點擊｜山系男女-男-大容量包,,,領取【百貨新客限定】現折50元優惠券,,,,點擊_填寫學生暢打問卷_2023M9,莊俞宏,,NDG研磨咖啡,,,,,190101至221022約翰森林,,,,,,
,220201選單主打星apple,,211018_1200,,,,防潑水0407,年齡：45以上,女衣著,點擊｜山系男女-男-輕便小包,,,領取【百貨會員限定】BergHOFF新品牌現折100元,,,,點擊_官網學生暢打,蘇則蔚,,Nespresso研磨咖啡,,,,,190101至221023約翰森林,,,,,,
,220202推播garmin,,211018_1600,,,,防潑水噴霧,性別：女,女衣著衣著,點擊｜已綁定名單,,,領取【百貨母親節】Hello Kitty獨角獸系列任二件6折,,,,點擊_我要參加夏日大挑戰,蘇振華,,onpack,,,,,190101至221024約翰森林,,,,,,
,220202選單主打星garmin,,211020_1200,,,,雙11,性別：男,女鞋,點擊｜未綁定名單,,,領取【百貨母親節】Hello Kitty獨角獸系列任兩件6折,,,,點擊_我要參加發票登錄,蘇育平,,#onpack,,,,,190101至221025約翰森林,,,,,,
,220203推播精品時尚,,211021_2000,,,,雙12登記,慶・中秋 禮盒專區,奶嘴,點擊｜男包互動,,,領取【百貨母親節】現折600元優惠券,,,,點擊_我要抽年中慶LINE點數,親子族群,,Onsite,,,,,190101至221026約翰森林,,,,,,
,220203選單主打星精品包,,211022_0000,,,,雨靴雨鞋,慶祝烘焙蛋黃酥,好奇,點擊｜男生禮物,,,領取【皇冠53週年】百貨200元折價券,,,,點擊_打開生日禮,觀戰導覽,,OOH POSM,,,,,190101至221027約翰森林,,,,,,
,220204推播樂高,,211022_1200,,,,零碼,我寫好了,好樂喉,點擊｜羅羅鎮故事-FIFI,,,領取【看見台灣加好友抽獎-台中場】LINE 10點,,,,點擊_換頁選單,許家彰,,P12M有交易但line未綁定,,,,,190101至221028約翰森林,,,,,,
,220204選單lego樂高,,211024_2000,,,,靴,我要填問券,好物良品,點擊｜羅羅鎮故事-FIFI-1,,,領取【看見台灣加好友抽獎-台中場】遊戲券乙張,,,,點擊_新入會我要回答,謝佳宏,,P24M有DS&SS紀錄,,,,,190101至221029約翰森林,,,,,,
